Adams,3173,328,5065
Antelope,797,86,1602
Arthur,31,7,143
Banner,37,13,242
Blaine,38,6,157
Boone,764,63,1342
Box Butte,852,145,2033
Boyd,299,35,602
Brown,293,54,761
Buffalo,4131,549,8616
Burt,1449,103,1305
Butler,1171,124,1826
Cass,3057,426,5107
Cedar,876,98,2050
Chase,321,40,1030
Cherry,382,87,1749
Cheyenne,612,102,2137
Clay,698,99,1348
Colfax,772,78,1121
Cuming,1038,85,1780
Custer,1249,201,2741
Dakota,1487,126,2141
Dawes,674,131,1879
Dawson,1664,215,3653
Deuel,104,37,555
Dixon,649,57,1237
Dodge,4145,493,5736
Douglas,64034,4197,72884
Dundy,136,28,531
Fillmore,872,96,1330
Franklin,438,65,834
Frontier,255,39,654
Furnas,476,88,1097
Gage,3195,329,3802
Garden,112,24,498
Garfield,203,20,496
Gosper,206,23,513
Grant,37,15,216
Greeley,335,39,437
Hall,5558,608,7741
Hamilton,1077,168,2393
Harlan,385,60,881
Hayes,88,18,348
Hitchcock,325,48,780
Holt,1108,139,2424
Hooker,57,10,218
Howard,832,112,1133
Jefferson,1011,113,1428
Johnson,728,67,887
Kearney,777,94,1704
Keith,517,93,1996
Keya Paha,92,14,275
Kimball,240,65,916
Knox,1019,112,2063
Lancaster,42323,2416,41216
Lincoln,3372,398,6872
Logan,66,12,272
Loup,103,16,202
Madison,2628,371,6293
McPherson,49,14,178
Merrick,948,135,1813
Morrill,301,59,1184
Nance,499,54,614
Nemaha,877,116,1409
Nuckolls,587,64,865
Otoe,1930,227,3237
Pawnee,376,35,672
Perkins,252,25,764
Phelps,904,119,2310
Pierce,570,76,1702
Platte,2823,303,6133
Polk,509,55,1197
Red Willow,878,147,2489
Richardson,964,111,1512
Rock,176,28,416
Saline,1913,135,1638
Sarpy,15957,1671,26744
Saunders,2609,291,4378
Scotts Bluff,2655,334,6616
Seward,2066,168,3224
Sheridan,261,71,1388
Sherman,625,61,637
Sioux,69,17,449
Stanton,493,54,1183
Thayer,707,93,1158
Thomas,59,9,242
Thurston,789,26,624
Valley,554,59,1008
Washington,2256,260,4354
Wayne,865,76,1744
Webster,479,41,756
Wheeler,141,17,255
York,1249,183,3076
